G/L Account,Profit Center,Segment,Customer,Customer Name,Special G/L ind.,Document Number,Document Date,,Debtor Category,WBS Element,Sales Document,Project,Product,Invoice reference,Reference,Document Date,Purchase Order Number,Assignment,Text,Due date,Ageing,Ageing in Days,Ageing in Days,To 0 Days,1 -  30 Days,31 -  60 Days,61 -  90 Days,91 - 120 Days,> 120 Days,Total (LC),Status,Not Due,Over Due, R Note , Bill Submission (Y/N) , Warranty , Warranty Difference of TDS , PVC , Lower Rate , GST Difference , GST TDS  , LD , EMD , Others/Not identified , Income Tax @0.1% , Retention , Reconciliation with Customer , RS CR , Payment received , Differences ,Old Legacy
27881190,P62300904,LM,40074385,North Frontier Railway,>,168486104,31-07-2023,,Old legacy,GST TDS,GST TDS,GST TDS,GST TDS,,9071804924,21-07-2023,,9.07E+13,USN_456_HR Rev of GST TDS Dr to Min of Rail_Nov18,21-07-2023,680, More than 120 Days ,361-720 Days,0,0,0,0,0,"21,84,774.90","21,84,774.90",Over Due,0,"21,84,774.90", -   , -   , -   ,0, -   ,0,0,"21,84,775",0,0,0,0,, -   ,0,, -   ,Yes
27881190,P62300904,LM,40079376,Banaras Locomotive Works,>,168486100,31-07-2023,,Old legacy,GST TDS,GST TDS,GST TDS,GST TDS,,9071801267,21-07-2023,,9.07E+13,USN_459_HR Rev of GST TDS Dr to Min of Rail_Nov18,21-07-2023,680, More than 120 Days ,361-720 Days,0,0,0,0,0,"18,98,705.33","18,98,705.33",Over Due,0,"18,98,705.33", -   , -   , -   ,0, -   ,0,0,"18,98,705",0,0,0,0,, -   ,0,, -   ,Yes
27881190,P62300904,LM,40079376,Banaras Locomotive Works,>,168486109,31-07-2023,,Old legacy,GST TDS,GST TDS,GST TDS,GST TDS,,9071809426,21-07-2023,,9.07E+13,USN_493_HR Rev of GST TDS Dr to Min of Rail_Feb19,21-07-2023,680, More than 120 Days ,361-720 Days,0,0,0,0,0,"5,89,376.00","5,89,376.00",Over Due,0,"5,89,376.00", -   , -   , -   ,0, -   ,0,0,"5,89,376",0,0,0,0,, -   ,0,, -   ,Yes
27881190,P62300904,LM,40079376,Banaras Locomotive Works,>,168486118,31-07-2023,,Old legacy,GST TDS,GST TDS,GST TDS,GST TDS,,9071806018,21-07-2023,,9.07E+13,USN_472_HR Rev of GST TDS Dr to Min of Rail_Dec18,21-07-2023,680, More than 120 Days ,361-720 Days,0,0,0,0,0,"20,47,170.00","20,47,170.00",Over Due,0,"20,47,170.00", -   , -   , -   ,0, -   ,0,0,"20,47,170",0,0,0,0,, -   ,0,, -   ,Yes
27881190,P62300904,LM,40079376,Banaras Locomotive Works,>,168486129,31-07-2023,,Old legacy,GST TDS,GST TDS,GST TDS,GST TDS,,9071806221,21-07-2023,,9.07E+13,USN_489_HR Rev of GST TDS Dr to Min of Rail_Jan19,21-07-2023,680, More than 120 Days ,361-720 Days,0,0,0,0,0,"10,90,956.00","10,90,956.00",Over Due,0,"10,90,956.00", -   , -   , -   ,0, -   ,0,0,"10,90,956",0,0,0,0,, -   ,0,, -   ,Yes
24110000,P62300904,LM,40085466,West Central Railway,,9072404221,06-09-2024,,Overdue,62OP-31001.P.01,3009090024,WCR_180KVA_01x,180kVA Static Converter,,HR1406003220,21-10-2024,9.42E+13,9.07E+13,,21-10-2024,222, More than 120 Days ,181-360 Days,0,0,0,0,0,"29,23,450.00","29,23,450.00",Over Due,0,"29,23,450.00", -   ,"29,23,450", -   ,0,0,0,0, -   ,0,0,0,0,,0,0,, -   ,No
24110300,P62300904,LM,40164154,Western Railway,Z,174966552,13-12-2021,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,503011828,13-12-2021,,1400651327,TDS,13-12-2021,"1,265", More than 120 Days ,Greater than 720 Days,0,0,0,0,0,"3,164.00","3,164.00",Over Due,0,"3,164.00", -   , -   , -   ,0,0,0,0, -   ,0,0,0,3164,,0,0,, -   ,No
24110300,P62300904,LM,40164154,Western Railway,Z,174968959,03-03-2022,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2006195575,03-03-2022,,1400670753,TDS-9079605586,03-03-2022,"1,185", More than 120 Days ,Greater than 720 Days,0,0,0,0,0,"15,434.00","15,434.00",Over Due,0,"15,434.00", -   , -   , -   ,0,0,0,0, -   ,0,0,0,15434,,0,0,, -   ,No
24110300,P62300904,LM,40164154,Western Railway,Z,174976257,23-06-2022,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2006342786,23-06-2022,,1400698491,TDS-9079400246,23-06-2022,"1,073", More than 120 Days ,Greater than 720 Days,0,0,0,0,0,"3,369.11","3,369.11",Over Due,0,"3,369.11", -   , -   , -   ,0,0,0,0, -   ,0,0,0,3369.11,,0,0,, -   ,No
24110000,P62300904,LM,40164816,Central Railway,,1603208288,29-03-2025,,Overdue,62OP-31006,3009107731,CR_2x130KvA_05x,2x130 KVA Static Inverter,9072406732,UNCLAIMED CR,10-02-2025,5.62E+13,9.07E+13,,10-02-2025,110, 90-120 Days ,91-180 Days,0,0,0,0,"1,19,18,000.00",0,"1,19,18,000.00",Over Due,0,"1,19,18,000.00", -   , -   ,"1,19,18,000",0,0,0,0, -   ,0,0,0,0,,0,0,, -   ,No
